Tube,Rng,Col,Plot
1,2,3,1
2,2,3,1
3,2,3,1
4,2,3,1
5,3,3,2
6,3,3,2
7,3,3,2
8,3,3,2
9,6,3,3
10,6,3,3
11,6,3,3
12,6,3,3
13,6,3,3
14,7,3,4
15,7,3,4
16,7,3,4
17,7,3,4
18,2,4,5
19,2,4,5
20,2,4,5
21,2,4,5
22,3,4,6
23,3,4,6
24,3,4,6
25,3,4,6
26,6,4,7
27,6,4,7
28,6,4,7
29,6,4,7
30,7,4,8
31,7,4,8
32,7,4,8
33,7,4,8
34,2,5,9
35,2,5,9
36,2,5,9
37,2,5,9
38,3,5,10
39,3,5,10
40,3,5,10
41,3,5,10
42,6,5,11
43,6,5,11
44,6,5,11
45,6,5,11
46,7,5,12
47,7,5,12
48,7,5,12
49,7,5,12
50,2,6,13
51,2,6,13
52,2,6,13
53,2,6,13
54,3,6,14
55,3,6,14
56,3,6,14
57,3,6,14
58,6,6,15
59,6,6,15
60,6,6,15
61,6,6,15
62,7,6,16
63,7,6,16
64,7,6,16
65,7,6,16
66,2,7,17
67,2,7,17
68,2,7,17
69,2,7,17
70,3,7,18
71,3,7,18
72,3,7,18
73,3,7,18
74,6,7,19
75,6,7,19
76,6,7,19
77,6,7,19
78,7,7,20
79,7,7,20
80,7,7,20
81,7,7,20
82,2,8,21
83,2,8,21
84,2,8,21
85,2,8,21
86,3,8,22
87,3,8,22
88,3,8,22
89,3,8,22
90,6,8,23
91,6,8,23
92,6,8,23
93,6,8,23
94,7,8,24
95,7,8,24
96,7,8,24
97,7,8,24
98,2,11,25
99,2,11,25
100,2,11,25
101,2,11,25
102,3,11,26
103,3,11,26
104,3,11,26
105,3,11,26
106,6,11,27
107,6,11,27
108,6,11,27
109,6,11,27
110,7,11,28
111,7,11,28
112,7,11,28
113,7,11,28
114,2,12,29
115,2,12,29
116,2,12,29
117,2,12,29
118,3,12,30
119,3,12,30
120,3,12,30
121,3,12,30
122,6,12,31
123,6,12,31
124,6,12,31
125,6,12,31
126,7,12,32
127,7,12,32
128,7,12,32
129,7,12,32
130,2,13,33
131,2,13,33
132,2,13,33
133,2,13,33
134,3,13,34
135,3,13,34
136,3,13,34
137,3,13,34
138,6,13,35
139,6,13,35
140,6,13,35
141,6,13,35
142,7,13,36
143,7,13,36
144,7,13,36
145,7,13,36
146,2,14,37
147,2,14,37
148,2,14,37
149,2,14,37
150,3,14,38
151,3,14,38
152,3,14,38
153,3,14,38
154,6,14,39
155,6,14,39
156,6,14,39
157,6,14,39
158,7,14,40
159,7,14,40
160,7,14,40
161,7,14,40
162,2,15,41
163,2,15,41
164,2,15,41
165,2,15,41
166,3,15,42
167,3,15,42
168,3,15,42
169,3,15,42
170,6,15,43
171,6,15,43
172,6,15,43
173,6,15,43
174,7,15,44
175,7,15,44
176,7,15,44
177,7,15,44
178,2,16,45
179,2,16,45
180,2,16,45
181,2,16,45
182,3,16,46
183,3,16,46
184,3,16,46
185,3,16,46
186,6,16,47
187,6,16,47
188,6,16,47
189,6,16,47
190,7,16,48
191,7,16,48
192,7,16,48
193,7,16,48
